date,query,page,impressions,clicks,ctr,avg_position,28_day_impression_delta,28_day_click_delta,opportunity_class,consideration_level,search_intent,route_verified,cooldown,action_taken,next_action
2026-07-24,1500 calorie meal plan,/blog/what-does-1500-calories-look-like-uk,51,0,0%,47.8,51,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-07-31,best meal prep containers,/blog/best-meal-prep-containers-uk,5354,6,0.11%,9.7,5354,6,near_page_one,priority,product_equipment,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-07-31,what does 1500 calories look like,/blog/what-does-1500-calories-look-like-uk,128,1,0.78%,13.4,128,1,near_page_one,strong,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-07-31,1500 calorie meal plan uk,/blog/what-does-1500-calories-look-like-uk,55,0,0%,12.8,41,0,near_page_one,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-07-31,1500 calories a day,/blog/what-does-1500-calories-look-like-uk,79,0,0%,37.2,72,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-07-31,1500 calorie diet,/blog/what-does-1500-calories-look-like-uk,102,0,0%,43.1,100,0,monitor,strong,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-07-31,1500 calories,/blog/what-does-1500-calories-look-like-uk,60,0,0%,34.6,43,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-07-31,1500 calorie meal,/blog/what-does-1500-calories-look-like-uk,86,0,0%,43.3,62,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-07-31,1500 calorie diet plan,/blog/what-does-1500-calories-look-like-uk,53,0,0%,41.7,52,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-07,best meal prep containers,/blog/best-meal-prep-containers-uk,4900,7,0.14%,9.8,4900,7,near_page_one,priority,product_equipment,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-07,what does 1500 calories look like,/blog/what-does-1500-calories-look-like-uk,146,2,1.37%,12,86,1,near_page_one,strong,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-07,1500 calories,/blog/what-does-1500-calories-look-like-uk,63,0,0%,29.3,32,0,striking_distance,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-07,1500 calorie meal plan uk,/blog/what-does-1500-calories-look-like-uk,56,1,1.79%,12.1,31,1,near_page_one,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-07,1500 calories a day,/blog/what-does-1500-calories-look-like-uk,84,0,0%,36.6,69,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-07,1500 calorie meal plan,/meal-plans/1500-calorie,74,0,0%,33.4,71,0,monitor,minor,calorie,yes,yes,added_to_public_weekly_links,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-07,1500 calorie meal,/blog/what-does-1500-calories-look-like-uk,90,0,0%,38.6,43,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-07,1500 calorie diet,/blog/what-does-1500-calories-look-like-uk,102,0,0%,41,86,0,monitor,strong,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-07,1500 calorie diet plan,/blog/what-does-1500-calories-look-like-uk,64,0,0%,40.6,61,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-07,2000 calorie meal plan,/meal-plan/2000-calorie-meal-plan,60,1,1.67%,29.8,60,1,striking_distance,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-07,1500 calorie meal plan,/blog/what-does-1500-calories-look-like-uk,54,0,0%,48.1,41,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,best meal prep containers,/blog/best-meal-prep-containers-uk,4413,4,0.09%,9.9,2240,1,near_page_one,priority,product_equipment,yes,yes,added_to_public_weekly_links,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,tesco low calorie meals,/meal-plan/tesco-low-calorie-meal-plan,224,1,0.45%,7.8,224,1,near_page_one,strong,supermarket,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,what does 1500 calories look like,/blog/what-does-1500-calories-look-like-uk,200,3,1.5%,10.5,103,2,near_page_one,strong,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,sainsbury's healthy ready meals,/blog/sainsburys-healthy-ready-meal-combos-uk,57,1,1.75%,8.2,57,1,near_page_one,minor,supermarket,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,1500 calorie meal plan,/meal-plans/1500-calorie,105,0,0%,28.8,99,0,striking_distance,strong,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,1500 calories,/blog/what-does-1500-calories-look-like-uk,77,0,0%,25.8,31,0,striking_distance,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,1500 calorie meal,/blog/what-does-1500-calories-look-like-uk,98,0,0%,33.5,28,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,1500 calorie diet,/blog/what-does-1500-calories-look-like-uk,89,0,0%,39.8,40,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,1500 calories a day,/blog/what-does-1500-calories-look-like-uk,75,0,0%,34,37,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,1500 calorie diet plan,/blog/what-does-1500-calories-look-like-uk,70,0,0%,34.6,48,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,1500 calorie diet,/meal-plan/1500-calorie-meal-plan,67,0,0%,56.7,30,0,monitor,minor,calorie,yes,yes,added_to_public_weekly_links,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,1500 calorie diet plan,/meal-plan/1500-calorie-meal-plan,62,0,0%,48.2,32,0,monitor,minor,calorie,yes,yes,added_to_public_weekly_links,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,1500 calorie meal plan uk,/blog/what-does-1500-calories-look-like-uk,56,2,3.57%,13.2,13,2,near_page_one,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,1500 calorie meal plan,/meal-plan/1500-calorie-meal-plan,54,0,0%,53.8,18,0,monitor,minor,calorie,yes,yes,added_to_public_weekly_links,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,1500 calorie meal plan,/blog/what-does-1500-calories-look-like-uk,51,0,0%,45.2,14,0,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
2026-08-14,2000 calorie meal plan,/meal-plan/2000-calorie-meal-plan,87,1,1.15%,31.2,87,1,monitor,minor,calorie,yes,yes,report_only,Monitor for now because this page is inside the recent-edit cooldown window.
